3.000000000000000000e+00,1.100000000000000000e+01,1.500000000000000000e+01,3.000000000000000000e+01,7.600000000000000000e+01,1.040000000000000000e+02,9.000000000000000000e+01,7.500000000000000000e+01,4.900000000000000000e+01,2.200000000000000000e+01
8.000000000000000000e+00,3.100000000000000000e+01,5.600000000000000000e+01,1.210000000000000000e+02,2.070000000000000000e+02,2.660000000000000000e+02,2.560000000000000000e+02,2.110000000000000000e+02,1.640000000000000000e+02,9.000000000000000000e+01
1.800000000000000000e+01,7.400000000000000000e+01,1.900000000000000000e+02,4.860000000000000000e+02,8.730000000000000000e+02,1.125000000000000000e+03,1.107000000000000000e+03,8.830000000000000000e+02,5.550000000000000000e+02,2.410000000000000000e+02
3.700000000000000000e+01,1.580000000000000000e+02,4.280000000000000000e+02,1.359000000000000000e+03,3.225000000000000000e+03,5.297000000000000000e+03,4.720000000000000000e+03,3.180000000000000000e+03,1.667000000000000000e+03,7.320000000000000000e+02
7.400000000000000000e+01,3.150000000000000000e+02,1.161000000000000000e+03,4.251000000000000000e+03,1.137500000000000000e+04,1.915500000000000000e+04,1.756700000000000000e+04,1.070300000000000000e+04,4.617000000000000000e+03,1.658000000000000000e+03
1.370000000000000000e+02,4.250000000000000000e+02,2.049000000000000000e+03,8.556000000000000000e+03,2.401500000000000000e+04,3.961000000000000000e+04,3.626800000000000000e+04,2.151200000000000000e+04,9.581000000000000000e+03,3.089000000000000000e+03
1.260000000000000000e+02,4.940000000000000000e+02,2.416000000000000000e+03,1.044200000000000000e+04,3.233500000000000000e+04,5.302600000000000000e+04,4.516300000000000000e+04,2.451500000000000000e+04,1.043200000000000000e+04,3.505000000000000000e+03
1.320000000000000000e+02,4.960000000000000000e+02,2.158000000000000000e+03,8.221000000000000000e+03,2.534500000000000000e+04,4.055900000000000000e+04,3.594700000000000000e+04,1.979100000000000000e+04,7.522000000000000000e+03,2.513000000000000000e+03
1.030000000000000000e+02,3.440000000000000000e+02,1.158000000000000000e+03,4.621000000000000000e+03,1.298900000000000000e+04,1.889700000000000000e+04,1.825400000000000000e+04,1.009900000000000000e+04,3.853000000000000000e+03,1.144000000000000000e+03
6.000000000000000000e+01,1.700000000000000000e+02,5.440000000000000000e+02,1.575000000000000000e+03,3.713000000000000000e+03,5.874000000000000000e+03,6.167000000000000000e+03,3.498000000000000000e+03,1.327000000000000000e+03,4.040000000000000000e+02
